Product name,Product code 1,product code 2,URI
Oxygen Steel Furnace Gas,p40.2.c,C_MOSG,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_MOSG
Motor vehicles; trailers and semi-trailers (34),p34,C_MOTO,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_MOTO
Naphtha,p23.20.l,C_NAPT,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_NAPT
N-fertiliser,p24.b,C_NFER,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_NFER
Nickel ores and concentrates,p13.20.12,C_NIKO,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_NIKO
Non-specified Petroleum Products,p23.20.r,C_NSPP,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_NSPP
Nuclear fuel,p23.3,C_NUCF,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_NUCF
Animal products nec,p01.m,C_OANP,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OANP
Other Liquid Biofuels,p24.i,C_OBIO,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OBIO
Other business services (74),p74,C_OBUS,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OBUS
Cereal grains nec,p01.c,C_OCER,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OCER
Office machinery and computers (30),p30,C_OFMA,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OFMA
Food products nec,p15.i,C_OFOD,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OFOD
Other Hydrocarbons,p11.c,C_OGPL,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OGPL
Oil seeds,p01.e,C_OILS,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OILS
Meat animals nec,p01.l,C_OMEA,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OMEA
Other non-ferrous metal products,p27.45,C_ONFM,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ONFM
Other non-ferrous metal ores and concentrates,p13.20.16,C_ONFO,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ONFO
Secondary other non-ferrous metals for treatment; Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,p27.45.w,C_ONFW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ONFW
Other non-metallic mineral products,p26.e,C_ONMM,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ONMM
Uranium and thorium ores (12),p12,C_ORAN,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ORAN
Membership organisation services n.e.c. (91),p91,C_ORGA,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_ORGA
Other services (93),p93,C_OSER,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OSER
Other Bituminous Coal,p10.c,C_OTBC,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OTBC
Crops nec,p01.h,C_OTCR,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OTCR
Other transport equipment (35),p35,C_OTRE,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_OTRE
Public administration and defence services; compulsory social security services (75),p75,C_PADF,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PADF
Paper and paper products,p21.2,C_PAPE,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PAPE
Secondary paper for treatment; Re-processing of secondary paper into new pulp,p21.w.1,C_PAPR,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PAPR
Paddy rice,p01.a,C_PARI,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PARI
Paraffin Waxes,p23.20.p,C_PARW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PARW
Patent Fuel,p10.e,C_PATF,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PATF
Products of meat cattle,p15.a,C_PCAT,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PCAT
Peat,p10.h,C_PEAT,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PEAT
Petroleum Coke,p23.20.q,C_PETC,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PETC
P- and other fertiliser,p24.c,C_PFER,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PFER
Pigs,p01.j,C_PIGS,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PIGS
Plastics; basic,p24.a,C_PLAS,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PLAS
Secondary plastic for treatment; Re-processing of secondary plastic into new plastic,p24.a.w,C_PLAW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PLAW
Poultry,p01.k,C_PLTR,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PLTR
Meat products nec,p15.d,C_POME,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POME
Electricity by biomass and waste,p40.11.g,C_POWB,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWB
Electricity by coal,p40.11.a,C_POWC,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWC
Distribution and trade services of electricity,p40.13,C_POWD,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWD
Electricity by solar thermal,p40.11.i,C_POWE,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWE
Electricity by gas,p40.11.b,C_POWG,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWG
Electricity by hydro,p40.11.d,C_POWH,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWH
Electricity by Geothermal,p40.11.k,C_POWM,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWM
Electricity by nuclear,p40.11.c,C_POWN,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWN
Electricity by tide; wave; ocean,p40.11.j,C_POWO,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWO
Electricity by petroleum and other oil derivatives,p40.11.f,C_POWP,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWP
Electricity by solar photovoltaic,p40.11.h,C_POWS,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWS
Transmission services of electricity,p40.12,C_POWT,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWT
Electricity by wind,p40.11.e,C_POWW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWW
Electricity nec,p40.11.l,C_POWZ,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_POWZ
Products of meat pigs,p15.b,C_PPIG,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PPIG
Products of meat poultry,p15.c,C_PPLT,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PPLT
Precious metals,p27.41,C_PREM,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PREM
Precious metal ores and concentrates,p13.20.14,C_PREO,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PREO
Secondary preciuos metals for treatment; Re-processing of secondary preciuos metals into new preciuos metals,p27.41.w,C_PREW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PREW
Private households with employed persons (95),p95,C_PRHH,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PRHH
Post and telecommunication services (64),p64,C_PTEL,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PTEL
Pulp,p21.1,C_PULP,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_PULP
Radio; television and communication equipment and apparatus (32),p32,C_RATV,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_RATV
Real estate services (70),p70,C_REAL,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_REAL
Recreational; cultural and sporting services (92),p92,C_RECR,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_RECR
Refinery Feedstocks,p23.20.j,C_REFF,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_REFF
Research and development services (73),p73,C_RESD,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_RESD
Refinery Gas,p23.20.h,C_RGAS,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_RGAS
Processed rice,p15.g,C_RICE,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_RICE
Rubber and plastic products (25),p25,C_RUBP,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_RUBP
Secondary raw materials,p37,C_RYMS,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_RYMS
Sand and clay,p14.2,C_SDCL,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_SDCL
Basic iron and steel and of ferro-alloys and first products thereof,p27.a,C_STEL,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_STEL
Secondary steel for treatment; Re-processing of secondary steel into new steel,p27.a.w,C_STEW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_STEW
Stone,p14.1,C_STON,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_STON
Sub-Bituminous Coal,p10.d,C_SUBC,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_SUBC
Sugar cane; sugar beet,p01.f,C_SUGB,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_SUGB
Sugar,p15.h,C_SUGR,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_SUGR
Air transport services (62),p62,C_TAIR,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TAIR
Supporting and auxiliary transport services; travel agency services (63),p63,C_TAUX,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TAUX
Retail trade services of motor fuel,p50.b,C_TDFU,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TDFU
Sale; maintenance; repair of motor vehicles; motor vehicles parts; motorcycles; motor cycles parts and accessoiries,p50.a,C_TDMO,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TDMO
Retail  trade services; except of motor vehicles and motorcycles; repair services of personal and household goods (52),p52,C_TDRT,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TDRT
Wholesale trade and commission trade services; except of motor vehicles and motorcycles (51),p51,C_TDWH,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TDWH
Textiles (17),p17,C_TEXT,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TEXT
Other land transportation services,p60.2,C_TLND,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TLND
Tobacco products (16),p16,C_TOBC,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TOBC
Transportation services via pipelines,p60.3,C_TPIP,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TPIP
Railway transportation services,p60.1,C_TRAI,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TRAI
Inland water transportation services,p61.2,C_TWAI,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TWAI
Sea and coastal water transportation services,p61.1,C_TWAS,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_TWAS
products of Vegetable oils and fats,p15.e,C_VOIL,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_VOIL
Food waste for treatment: waste water treatment,p90.4.a,C_WASF,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_WASF
Other waste for treatment: waste water treatment,p90.4.b,C_WASO,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_WASO
Collected and purified water; distribution services of water (41),p41,C_WATR,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_WATR
Wheat,p01.b,C_WHEA,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_WHEA
White Spirit & SBP,p23.20.m,C_WHSP,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_WHSP
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20,C_WOOD,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_WOOD
Wool; silk-worm cocoons,p01.o,C_WOOL,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_WOOL
Wood material for treatment; Re-processing of secondary wood material into new wood material,p20.w,C_WOOW,rdf.bonsai.uno/exiobase3_3_17/flowobjects/C_WOOW
