Label,URI
Radiative forcing,http://rdf.bonsai.uno/flowobject/lcia/radiative_forcing
Temperature Incraese - 100yrs horizon,http://rdf.bonsai.uno/activitytype/lcia/temperature_incraese_100yrs_horizon
