Activity name,Activity code 1,Activity code 2,URI
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,i27.a,A_STEL,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_STEL
Manufacture of beverages,i15.j,A_BEVR,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_BEVR
"Manufacture of bricks, tiles and construction products, in baked clay",i26.c,A_BRIK,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_BRIK
"Manufacture of cement, lime and plaster",i26.d,A_CMNT,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_CMNT
Manufacture of ceramic goods,i26.b,A_CRMC,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_CRMC
Manufacture of coke oven products,i23.1,A_COKE,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_COKE
Manufacture of electrical machinery and apparatus n.e.c. (31),i31,A_ELMA,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_ELMA
"Manufacture of fabricated metal products, except machinery and equipment (28)",i28,A_FABM,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_FABM
Manufacture of fish products,i15.k,A_FSHP,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_FSHP
Manufacture of furniture; manufacturing n.e.c. (36),i36,A_FURN,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_FURN
Manufacture of gas;,i40.2.a,A_MGWG,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_MGWG
Manufacture of glass and glass products,i26.a,A_GLAS,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_GLAS
Manufacture of machinery and equipment n.e.c. (29),i29,A_MACH,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_MACH
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",i33,A_MEIN,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_MEIN
"Manufacture of motor vehicles, trailers and semi-trailers (34)",i34,A_MOTO,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_MOTO
Manufacture of office machinery and computers (30),i30,A_OFMA,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_OFMA
Manufacture of other non-metallic mineral products n.e.c.,i26.e,A_ONMM,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_ONMM
Manufacture of other transport equipment (35),i35,A_OTRE,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_OTRE
"Manufacture of radio, television and communication equipment and apparatus (32)",i32,A_RATV,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_RATV
Manufacture of rubber and plastic products (25),i25,A_RUBP,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_RUBP
Manufacture of textiles (17),i17,A_TEXT,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TEXT
Manufacture of tobacco products (16),i16,A_TOBC,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TOBC
Manufacture of wearing apparel; dressing and dyeing of fur (18),i18,A_GARM,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_GARM
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",i20,A_WOOD,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_WOOD
"Manure treatment (biogas), storage and land application",i01.w.2,A_MANB,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_MANB
"Manure treatment (conventional), storage and land application",i01.w.1,A_MANC,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_MANC
Meat animals nec,i01.l,A_OMEA,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_OMEA
Mining of aluminium ores and concentrates,i13.20.13,A_ALUO,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_ALUO
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",i14.3,A_CHMF,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_CHMF
Mining of coal and lignite; extraction of peat (10),i10,A_COAL,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_COAL
Mining of copper ores and concentrates,i13.20.11,A_COPO,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_COPO
Mining of iron ores,i13.1,A_IRON,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_IRON
"Mining of lead, zinc and tin ores and concentrates",i13.20.15,A_LZTO,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_LZTO
Mining of nickel ores and concentrates,i13.20.12,A_NIKO,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_NIKO
Mining of other non-ferrous metal ores and concentrates,i13.20.16,A_ONFO,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_ONFO
Mining of precious metal ores and concentrates,i13.20.14,A_PREO,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PREO
Mining of uranium and thorium ores (12),i12,A_ORAN,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_ORAN
N-fertiliser,i24.b,A_NFER,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_NFER
Other business activities (74),i74,A_OBUS,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_OBUS
Other land transport,i60.2,A_TLND,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_TLND
Other non-ferrous metal production,i27.45,A_ONFM,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_ONFM
Other service activities (93),i93,A_OSER,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_OSER
P- and other fertiliser,i24.c,A_PFER,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PFER
Paper,i21.2,A_PAPE,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PAPE
Petroleum Refinery,i23.2,A_REFN,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_REFN
Pigs farming,i01.j,A_PIGS,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PIGS
"Plastics, basic",i24.a,A_PLAS,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PLAS
Post and telecommunications (64),i64,A_PTEL,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PTEL
Poultry farming,i01.k,A_PLTR,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PLTR
Precious metals production,i27.41,A_PREM,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PREM
Private households with employed persons (95),i95,A_PRHH,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PRHH
Processed rice,i15.g,A_RICE,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_RICE
Processing of dairy products,i15.f,A_DAIR,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_DAIR
Processing of Food products nec,i15.i,A_OFOD,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_OFOD
Processing of meat cattle,i15.a,A_PCAT,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PCAT
Processing of meat pigs,i15.b,A_PPIG,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PPIG
Processing of meat poultry,i15.c,A_PPLT,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_PPLT
Processing of nuclear fuel,i23.3,A_NUCF,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_NUCF
Processing vegetable oils and fats,i15.e,A_VOIL,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_VOIL
Production of electricity by biomass and waste,i40.11.g,A_POWB,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWB
Production of electricity by coal,i40.11.a,A_POWC,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWC
Production of electricity by gas,i40.11.b,A_POWG,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWG
Production of electricity by Geothermal,i40.11.k,A_POWM,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWM
Production of electricity by hydro,i40.11.d,A_POWH,rdf.bonsai.uno/activitytype/exiobase3_3_17/A_POWH
